volunteer_comment,id,update_contact,inadequate_food,earlier_pickup,system_problem,direction_problem,recipient_problem,donor_problem
"Your’s is an Awesome organization !

YOU are wonderful folks to work with !",743681,0,0,0,0,0,0,0
About 22 boxes of food,743397,0,0,0,0,0,0,0
2 weeks in a row no donations,750578,0,1,0,0,0,0,0
Nobody here. Left all on dock. 4 rescues.,737937,0,0,0,0,0,1,0
👍,783347,0,0,0,0,0,0,0
👍,783345,0,0,0,0,0,0,0
Always great to start the day with a 530 Food Rescue! Have a great great day everyone!,785477,0,0,0,0,0,0,0
we spoke to the manager and he said no donations today.,733908,0,1,0,0,0,0,0
Thank you very much,773553,0,0,0,0,0,0,0
sorry - I forgot to close it out!,791602,0,0,0,0,0,0,0
"it made me nervous, but it warmed my heart!",788249,0,0,0,0,0,0,0
Armita at the Mavis McMullen Place was wonderful!,743365,0,0,0,0,0,0,0
"Noah is great 
",743290,0,0,0,0,0,0,0
Two trips requied to complete the rescue,743433,0,0,0,0,0,0,0
Nice eight bucks donation from Kennedy Township John eagle coming here to the Bidwell center nice looking stuff,776291,0,0,0,0,0,0,0
Slow pickup at Kilela,743375,0,0,0,0,0,0,1
Huge donation today!,775437,0,0,0,0,0,0,0
more food than expected,791015,0,0,0,0,0,0,0
Great rescue! Gretchen and the Chick Fil A Blue Ash staff we ready and prepared and happy to load up a generous donation! The folks at Lighthouse in Clifton were delighted as always to receive the donation of delicious Chick-Fil-A product. Very kind and welcoming! Glad i could help today!,774082,0,0,0,0,0,0,0
"1 box frozen meat, 1 small box of lunch meat, 4 half gallon of skim milk….",768875,0,0,0,0,0,0,0
Things went smooth,774936,0,0,0,0,0,0,0
"3 pans of chicken, 3 pans of mashed potatoes and 2 pans of Mac raring and cheese",781382,0,0,0,0,0,0,0
Called in advance and they reported they have no donation today.,760728,0,1,0,0,0,0,0
The regular receiver at ShopRite is off this week. Replacement didn’t save much or know what day I was coming. Only one box of food rescued.,787665,0,1,0,0,0,0,1
Don’t call Salem before 10 am,775462,0,0,0,0,0,0,1
Love this.,773649,0,0,0,0,0,0,0
Items taken to kitchen area,777182,0,0,0,0,0,0,0
cool,774215,0,0,0,0,0,0,0
I will become more efficient since I did three today!!! came all the way from North Carolina!,788247,0,0,0,0,0,0,0
No produce ☹️,760750,0,1,0,0,0,0,0
Good run.,761601,0,0,0,0,0,0,0
These are just the nicest people.,756362,0,0,0,0,0,0,0
"Directions need to be updated. Level E in garage not 5. Cheryl does not answer phone. Food rescue help unresponsive, then were to call back, but didn’t. Food in flimsy al pans. Leaky. ",774101,0,0,0,0,1,0,0
"Great rescue today! So glad i could pick it up after my first rescue didn’t have anything today. The UDF at Mosteller was super ready and prepared  and helpful ! And when i got to tge drop off point in the complex, the were very grateful to have it and that someone picked it up. I voikd see by the number of peopke there, that a lot of families would benefit from this rescue! ",774094,0,0,0,0,0,0,0
Not a lot of surplus. Difficulty cobtacting syore.,787679,0,1,0,0,0,0,1
10 crates of milk is a nice donation and I'm glad I got to deliver it!,791068,0,0,0,0,0,0,0
"Les, The contact at second chance Center, no longer is there. That is his cell phone number as a contact. I just ring the doorbell and someone else answers.",764425,1,0,0,0,0,0,0
Super easy! George was so nice,791075,0,0,0,0,0,0,0
Love doing this,791144,0,0,0,0,0,0,0
Thanks For The Blessings 🩷🩷🩷,770179,0,0,0,0,0,0,0
I need a sub for next week,770495,0,0,0,0,0,0,0
"3 weeks in w row, no donation ",768099,0,1,0,0,0,0,0
Apparently there’s no rescue next week,774067,0,0,0,0,0,0,0
"Get go had  a gigantic box of clothes for me, too. I could barely get it in the car, then both boxes broke.",791425,0,0,0,0,0,0,0
More rescues should be dispersed through the city's free fridges to expand access.,791428,0,0,0,0,0,0,0
Redirected to CAIN.,791146,0,0,0,0,0,0,0
I spoke with Jeff and he is going to clarify. There was another volunteer there getting the donation,770150,0,0,0,0,0,0,0
Two boxes pf produce from GE to the church pantry. Mostly bags of potatoes and some onions and citrus,775699,0,0,0,0,0,0,0
Not as much as usual today better luck next time  half a crate,775758,0,1,0,0,0,0,0
Lots of beautiful bread delivered for lots of lovely people!,791486,0,0,0,0,0,0,0
"Pick up could be smoother. I never intercept the same person twice to tell them I'm there, and they usually seem unsure what I'm doing (understandably). It would help if I could say ""tell so and so I'm here from last mile for the food donation cart"" ",770143,0,0,0,0,0,0,0
perfect!,766297,0,0,0,0,0,0,0
ezpz,791500,0,0,0,0,0,0,0
"Great. Easy to use app and get
 access for delivery ",775892,0,0,0,0,0,0,0
Did not combine w/ St Joseph's because Pizza Hut pickup was cancelled. just 2 bags today.,761226,0,1,0,0,0,0,0
This was a fun experience I thoroughly enjoyed!,789545,0,0,0,0,0,0,0
Google maps on app was giving me a little trouble for some reafon it would only do a preview and sldo start at my last destination. So inised mybown maps and it was fine,743395,0,0,0,1,1,0,0
Great produce and milk donation,768871,0,0,0,0,0,0,0
All  good,791395,0,0,0,0,0,0,0
Both bakery and produce came through today good donation,775693,0,0,0,0,0,0,0
"the manager today at Choices is very upset today.  He told me several weeks ago that Friday is the busiest for delivery.  He wants the pickup to be changed to 12 -1 pm.  It is a different manager most time, but this one manager is very upset that the pickup time is from 10 -11 am
",743409,0,0,0,0,0,0,1
I think that elementary schools are really unreliable. most of the elementary schools I went to didn't have anything but thorntons had a lot to give back.,790251,0,0,0,0,0,1,1
I always enjoy doing this donation to the YWCA on Maxwell Ave!,768848,0,0,0,0,0,0,0
Always a pleasure to deliver to Tikkun Farm!,768965,0,0,0,0,0,0,0
"I've picked up donations from Clifton Market before, but I've never delivered a donation to Focus Cincinnati at 7000 Winton Rd. But I have visited here once before, while on a hike through the back trails in Finneytown, over a year ago. So I'm glad to have had the opportunity to make a 'business' call here!",769198,0,0,0,0,0,0,0
The 15 boxes of pastries are standard UDF one pound boxes.,769082,0,0,0,0,0,0,0
"I was ready to leave my house and called UDF in Blue Ash as directed to make sure there would be a donation. The young lady that answered said they DID NOT have a donation today. I thanked her and said we appreciate then and maybe next time. I DID call the Salvation Army to let them kmow there would NOT be a drop off this morning. The receptionist was very polite and understanding and he said “Thats ok,” “We understand-I appreciate your efforts.” I apologized  and we bothed wished each other a nice weekend. I was sad that I couldn’t help them out today. Hopefully my afternoon rescue is a little more successful. ",774119,0,1,0,0,0,0,0
someone had already picked up at Kroger earlier,768925,0,0,1,0,0,0,0
"Kroger was difficult to find in-store directions 
.",768861,0,0,0,0,1,0,0
10 gallons of water,769013,0,0,0,0,0,0,0
Called; no donation today,769092,0,1,0,0,0,0,0
I called first and the manager told me nothing was available!,769091,0,1,0,0,0,0,0
they stated that today they had none,788248,0,1,0,0,0,0,0
"This was confusing and upsetting. 
I called when i completed a previous LastMile drop and said i was coming. They said yes they had a donation. When i arrived i was told the donation was picked up by someone esle from last mile. 
I declined an invitation for this morning to run this extra run to UDF as i am hoping to get this as a regular run. ",774111,0,0,1,0,0,0,0
"donut shop gave way more than they were supposed to, he put all the bags of donuts in a giant garbage bag for me to carry which ",747880,0,0,0,0,0,0,0
Huge haul of baked goods. Some were loose aand unboxed. Quite a mess!!!,776114,0,0,0,0,0,0,1
Very small donation. Not worth the time,774090,0,1,0,0,0,0,0
There is food here already that needs refrigeration. And im leaving more,786906,0,0,0,0,0,1,0
Barona Was very helpful as we were unable to pick up anything at this location. Is we will try again another day.,764434,0,1,0,0,0,0,0
No issues,768998,0,0,0,0,0,0,0
"Had to make 2 trips to get extra 10 cases of milk. I had first delivery signed for but I lost the signature after the 2nd run so didn’t get one the 2nd time.
",775475,0,0,0,0,0,0,0
Wonderful to provide fruit and milk to a pantry from the local schools.,790116,0,0,0,0,0,0,0
Good,767283,0,0,0,0,0,0,0
this was a HUGE BAG,767236,0,0,0,0,0,0,0
no one here what should I do,767229,0,0,0,0,0,0,1
FYI....only 12 sandwiches today,767250,0,1,0,0,0,0,0
Starbucks is on the ball and had my stuff ready and packaged well,767443,0,0,0,0,0,0,0
👍,783319,0,0,0,0,0,0,0
Always very smooth. Someone comes usually at the same time also to get donations so today they just had to pull stuff real quick.,786418,0,0,0,0,0,0,0
helpful,772303,0,0,0,0,0,0,0
Great staff,772318,0,0,0,0,0,0,0
"Thank you for coordinating this! 
",772427,0,0,0,0,0,0,0
Another good rescue 👍,772569,0,0,0,0,0,0,0
👍,772637,0,0,0,0,0,0,0
👍,773080,0,0,0,0,0,0,0
👍,773519,0,0,0,0,0,0,0
"Actually there was a pick up today, but it was done by another volunteer, Helen ",773556,0,0,1,0,0,0,0
Food bank closed. Trays dropped at the Eagle Rock Community Fridge instead.,773600,0,0,0,0,0,1,0
see signature for Smart and Final on Atlantic in LB. dropoff is the same.,773594,0,0,0,0,0,0,0
"Excellent - all food ready at pick-up and well packed to travel.
 ",744079,0,0,0,0,0,0,0
Staff is great.,772430,0,0,0,0,0,0,0
Beverly said everyone's food stamp cards were stolen.,791034,0,0,0,0,0,0,0
Left two messages to pick up the food left by the door (under canopy to try to keep it from getting rained on).,756383,0,0,0,0,0,0,0
There were 17 boxes of Bakery Goods.,767128,0,0,0,0,0,0,0
I was told to take to the Beacon House. They said their storage was full and asked me to take it to the healing place instead. I also received much more than was estimated to pick up from the elementary school.,791423,0,0,0,0,0,0,0
Two full shopping carts of bakery turned into seven boxes of big group items from Chippewa giant eagle,775831,0,0,0,0,0,0,0
"Wow - tough one.  The pick up was confusing in terms of what was UBC’s and what to Kits house.  The mapping directions to the drop off led me to the drop off place. Then the contact didnt answer her phone for a while. She did call me finally and directed me some, but then the connectivity on my cell died so i couldnt google map it. Anyway, i finally got there and they were thrilled with the donation.  Thrilled enough that I will do it again and hopefully it goes better. ",766711,0,0,0,0,1,0,0
1 box of produce sent to Emerald.,770960,0,0,0,0,0,0,0
see signature for Smart and Final on Atlantic in LB.  drop off is the same.,783298,0,0,0,0,0,0,0
"Was a great experience for my granddaughters, at Capilano University Shayla explained how it helped the students, as some have trouble affording all of the cost of university. ",743416,0,0,0,0,0,0,0
great 👍,789343,0,0,0,0,0,0,0
Had a run in with eemc this morning.  She was yelling at me at for talingbitems i was supposed to take.   Crazy,775563,0,0,0,0,0,0,1
Just closing this out as someone else got here before i did to receive the pick- up.  And im guessing the ‘receiver’ wont be getting the donation.  😞,789402,0,0,1,0,0,0,0
delivered and received,787052,0,0,0,0,0,0,0
Called and spoke with a male and he confirmed no donation today.,767484,0,1,0,0,0,0,0
Good,760292,0,0,0,0,0,0,0
Tons of nice potatoes today.,775938,0,0,0,0,0,0,0
was advised someone picked up at 8 am today.,781298,0,0,1,0,0,0,0
Needed another vehicle. Big loads !,774060,0,0,0,0,0,0,0
I was told by a worker that Bimbo is reevaluating how it gives the bread donations. the contact Andrew is no longer in charge of the donations.,774041,1,0,0,0,0,0,0
Quantity has dropped but all else is great!,774195,0,0,0,0,0,0,0
Deanne not available to accept donation.  left in the vestibule outside locked door.,775422,0,0,0,0,0,1,0
"Chef did not have a donation available today 
",775465,0,1,0,0,0,0,0
Anorher great delivery,775815,0,0,0,0,0,0,0
The store worker I spoke to said the donations had already been picked up.,775918,0,0,1,0,0,0,0
Very nice donation today from Pine Township lots of produce Maria’s back on the job,776912,0,0,0,0,0,0,0